qWineTypes,qFoodpairings,qPriceMin,qPriceMax,qMinRating,title,rating,price,reviewcount,countryCode,country,region,winery,winerylink,link,photo,pagetime,pageurl
"Dessert","","10","40","3.5","Rosso Dolce","4.2","11.99","7869","it","Italy","Provincia di Pavia","Roscato","/wineries/roscato/wines/3759925-rosso-dolce-sweet-red-8888","/wineries/roscato/wines/3759925-rosso-dolce-sweet-red-8888","background-image:url(//images.vivino.com/thumbs/1349796521_7660_150x200.jpg);","Thu Jul 06 2017 19:08:39 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfamgMAcD0PYQ==",
"Dessert","","10","40","3.5","Fino Muy Seco Palomino Fino","3.3","16.99","2077","es","Spain","Jerez-Xérès-Sherry","Tio Pepe","/wineries/tio-pepe/wines/tio-pepe-fino-muy-seco-8888","/wineries/tio-pepe/wines/tio-pepe-fino-muy-seco-8888","background-image:url(//images.vivino.com/thumbs/dgpwAzrzSmaSG-SLj8F0_w_150x200.jpg);","Thu Jul 06 2017 19:08:39 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfamgMAcD0PYQ==",
"Dessert","","10","40","3.5","Nectar Pedro Ximenez Dulce","4.0","25.99","1975","es","Spain","Jerez-Xérès-Sherry","Gonzalez-Byass","/wineries/es-gonzalez-byass/wines/nectar-jerez-xrs-sherry-pedro-ximenez-dulce-8888","/wineries/es-gonzalez-byass/wines/nectar-jerez-xrs-sherry-pedro-ximenez-dulce-8888","background-image:url(//images.vivino.com/thumbs/WchWdah3RSK0zGLG-nQ9-g_150x200.jpg);","Thu Jul 06 2017 19:08:39 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfamgMAcD0PYQ==",
"Dessert","","10","40","3.5","Fino En Rama","3.4","17.99","1964","es","Spain","Jerez-Xérès-Sherry","Tio Pepe","/wineries/tio-pepe/wines/palomino-jerez-xeres-sherry-tio-pepe-8888","/wineries/tio-pepe/wines/palomino-jerez-xeres-sherry-tio-pepe-8888","background-image:url(//images.vivino.com/thumbs/FSQshOfwScW-gY0m_s6x8A_150x200.jpg);","Thu Jul 06 2017 19:08:39 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfamgMAcD0PYQ==",
"Dessert","","10","40","3.5","Harvest Select Sweet Riesling 2013","4.0","8.99","1572","us","United States","Columbia Valley","Château Ste. Michelle","/wineries/chateau-ste-michelle-winery/wines/columbia-valley-harvest-select-sweet-riesling-2013","/wineries/chateau-ste-michelle-winery/wines/columbia-valley-harvest-select-sweet-riesling-2013","background-image:url(//images.vivino.com/thumbs/AUYUETWoSnewYNAtbivbzA_150x200.jpg);","Thu Jul 06 2017 19:08:39 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfamgMAcD0PYQ==",
"Dessert","","10","40","3.5","Sauternes (Lur Saluces) 1998","4.7","312","1481","fr","France","Sauternes","Château d'Yquem","/wineries/chateau-d-yquem/wines/1334808-sauternes-1998","/wineries/chateau-d-yquem/wines/1334808-sauternes-1998","background-image:url(//images.vivino.com/thumbs/Mch5EokETVi3i775QbKIfQ_150x200.jpg);","Thu Jul 06 2017 19:08:39 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfamgMAcD0PYQ==",
"Dessert","","10","40","3.5","Sauternes (Lur Saluces) 1996","4.7","281.74","1449","fr","France","Sauternes","Château d'Yquem","/wineries/chateau-d-yquem/wines/1830567-sauternes-1996","/wineries/chateau-d-yquem/wines/1830567-sauternes-1996","background-image:url(//images.vivino.com/thumbs/FSAV6fhOQV-XZxWnb4xpUw_150x200.jpg);","Thu Jul 06 2017 19:08:39 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfamgMAcD0PYQ==",
"Dessert","","10","40","3.5","Sauternes (Lur Saluces) 1999","4.7","276","1140","fr","France","Sauternes","Château d'Yquem","/wineries/chateau-d-yquem/wines/1436268-sauternes-1999","/wineries/chateau-d-yquem/wines/1436268-sauternes-1999","background-image:url(//images.vivino.com/thumbs/s4CtnvIeSyuDgxIrUf4LNg_150x200.jpg);","Thu Jul 06 2017 19:08:39 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfamgMAcD0PYQ==",
"Dessert","","10","40","3.5","Solera 1847 Cream - Oloroso Dulce","3.9","25.99","1074","es","Spain","Jerez-Xérès-Sherry","Gonzalez-Byass","/wineries/es-gonzalez-byass/wines/jerez-xeres-sherry-oloroso-dulce-8888","/wineries/es-gonzalez-byass/wines/jerez-xeres-sherry-oloroso-dulce-8888","background-image:url(//images.vivino.com/thumbs/2R7suL2JSe6kiHnC81bYyw_150x200.jpg);","Thu Jul 06 2017 19:08:39 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfamgMAcD0PYQ==",
"Dessert","","10","40","3.5","East India Solera Sherry","4.0","22.98","988","es","Spain","Jerez-Xérès-Sherry","Lustau","/wineries/lustau/wines/east-india-solera-sherry-8888","/wineries/lustau/wines/east-india-solera-sherry-8888","background-image:url(//images.vivino.com/thumbs/Fw5GI9ycQf2hplJMvthHug_150x200.jpg);","Thu Jul 06 2017 19:08:39 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfamgMAcD0PYQ==",
"Dessert","","10","40","3.5","Jerez-Xeres-Sherry Reserva Solera Pedro Ximénez San Emilio","4.0","26.99","914","es","Spain","Jerez-Xérès-Sherry","Lustau","/wineries/lustau/wines/reserva-solera-san-emilio-pedro-ximnez-sherry-8888","/wineries/lustau/wines/reserva-solera-san-emilio-pedro-ximnez-sherry-8888","background-image:url(//images.vivino.com/thumbs/vItm7Tw-Qo-G4zldkw3Tew_150x200.jpg);","Thu Jul 06 2017 19:08:39 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfamgMAcD0PYQ==",
"Dessert","","10","40","3.5","Alambre Moscatel de Setúbal 2010","3.8","18.99","835","pt","Portugal","Península de Setúbal","José Maria da Fonseca","/wineries/jose-maria-da-fonseca/wines/alambre-setubal-20-years-anos-moscatel-2010","/wineries/jose-maria-da-fonseca/wines/alambre-setubal-20-years-anos-moscatel-2010","background-image:url(//images.vivino.com/thumbs/d7zAb2DbTdqsQjfoI7mu9w_150x200.jpg);","Thu Jul 06 2017 19:08:39 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfamgMAcD0PYQ==",
